[2024-12-23 14:58:23.951] [info] [api.cc:223] - equal_ss, executed 84 times, duration 0.174490927s, send bytes 4536112 recv bytes 3146736, send actions 618, recv actions 602
[2024-12-23 14:58:23.951] [info] [api.cc:223] - mul_ap, executed 784 times, duration 0.131727178s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - and_bb, executed 572 times, duration 0.102665059s, send bytes 1034025 recv bytes 1034025, send actions 572, recv actions 572
[2024-12-23 14:58:23.951] [info] [api.cc:223] - concatenate, executed 89 times, duration 0.072386698s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - add_pp, executed 932 times, duration 0.071396111s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - not_p, executed 592 times, duration 0.048152856s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - extract_slice, executed 3637 times, duration 0.031294675s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - xor_bb, executed 1930 times, duration 0.023161517s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - mmul_ap, executed 24 times, duration 0.01722986s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - bitrev_b, executed 124 times, duration 0.016970832s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - rshift_b, executed 1236 times, duration 0.016523605s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - and_bp, executed 1264 times, duration 0.01473147s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - reshape, executed 3079 times, duration 0.010856661s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - make_p, executed 3054 times, duration 0.00935865s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - xor_bp, executed 144 times, duration 0.00479018s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - lshift_p, executed 246 times, duration 0.00378346s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - transpose, executed 393 times, duration 0.002869295s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - p2a, executed 13 times, duration 0.002131392s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - broadcast, executed 424 times, duration 0.001708454s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - msb_p, executed 22 times, duration 0.00165112s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - lshift_b, executed 324 times, duration 0.001514535s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - update_slice, executed 15 times, duration 0.001473422s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - mul_pp, executed 52 times, duration 0.000405639s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:223] - equal_pp, executed 2 times, duration 3.0521e-05s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2024-12-23 14:58:23.951] [info] [api.cc:233] Link details: total send bytes 451277137, recv bytes 458386537, send actions 15602, recv actions 15086
